TIME,RPM,CLT
0,0,43
0.04,0,43
0.08,0,43
0.12,0,43
0.16,0,43
0.2,0,43
0.24,0,43
0.28,0,43
0.32,0,43
0.36,0,43
0.4,0,43
0.44,0,43
0.48,0,43
0.52,0,43
0.56,0,43
0.6,0,43
0.64,0,43
0.68,0,43
0.72,0,43
0.76,0,43
0.8,0,43
0.84,0,43
0.88,0,43
0.92,0,43
0.96,0,43
1,0,43
1.04,0,43
1.08,0,43
1.12,0,43
1.16,0,43
1.2,0,43
1.24,0,43
1.28,0,43
1.32,0,43
1.36,0,43
1.4,0,43
1.44,0,43
1.48,0,43
1.52,0,43
1.56,0,43
1.6,0,43
1.64,0,43
1.68,0,43
1.72,0,43
1.76,0,43
1.8,0,43
1.84,0,43
1.88,0,43
1.92,0,43
1.96,0,43
2,0,43
2.04,0,43
2.08,0,43
2.12,0,43
2.16,0,43
2.2,0,43
2.24,0,43
2.28,0,43
2.32,0,43
2.36,0,43
2.4,0,43
2.44,0,43
2.48,0,43
2.52,0,43
2.56,0,43
2.6,0,43
2.64,0,43
2.68,0,43
2.72,0,43
2.76,0,43
2.8,0,43
2.84,0,43
2.88,0,43
2.92,0,43
2.96,0,43
3,0,43
3.04,0,43
3.08,0,43
3.12,0,43
3.16,0,43
3.2,0,43
3.24,0,43
3.28,0,43
3.32,0,43
3.36,0,43
3.4,0,43
3.44,0,43
3.48,0,43
3.52,0,43
3.56,0,43
3.6,0,43
3.64,0,43
3.68,0,43
3.72,0,43
3.76,0,43
3.8,0,43
3.84,0,43
3.88,0,43
3.92,0,43
3.96,0,43
4,0,43
4.04,0,43
4.08,0,43
4.12,0,43
4.16,0,43
4.2,0,43
4.24,0,43
4.28,0,43
4.32,0,43
4.36,0,43
4.4,0,43
4.44,0,43
4.48,0,43
4.52,0,43
4.56,0,43
4.6,0,43
4.64,0,43
4.68,369,43
4.72,369,43
4.76,369,43
4.8,369,43
4.84,362,43
4.88,362,43
4.92,362,43
4.96,362,43
5,362,43
5.04,326,43
5.08,326,43
5.12,326,43
5.16,506,43
5.2,909,43
5.24,909,43
5.28,1879,43
5.32,2382,43
5.36,3054,43
5.4,3597,43
5.44,3604,43
5.48,3566,43
5.52,3479,43
5.56,3416,43
5.6,3376,43
5.64,3313,43
5.68,3382,44
5.72,3294,43
5.76,3264,43
5.8,3275,43
5.84,3242,43
5.88,3239,44
5.92,3233,43
5.96,3195,43
6,3226,43
6.04,3197,43
6.08,3119,43
6.12,3085,43
6.16,3060,43
6.2,3073,43
6.24,3024,43
6.28,2967,43
6.32,2970,43
6.36,2948,43
6.4,2937,43
6.44,2948,43
6.48,2944,43
6.52,2919,43
6.56,2945,43
6.6,2951,43
6.64,2975,44
6.68,3006,44
6.72,3012,44
6.76,3017,44
6.8,2986,44
6.84,2931,44
6.88,2940,43
6.92,2936,43
6.96,2934,43
7,2892,43
7.04,2915,43
7.08,2906,43
7.12,2898,43
7.16,2914,43
7.2,2929,43
7.24,2921,43
7.28,2905,43
7.32,2919,43
7.36,2918,43
7.4,2942,43
7.44,2971,43
7.48,2956,43
7.52,2934,43
7.56,2945,43
7.6,2856,43
7.64,2857,43
7.68,2880,43
7.72,2902,43
7.76,2930,43
7.8,2939,43
7.84,2951,43
7.88,2956,43
7.92,2935,43
7.96,2896,43
8,2910,43
8.04,2898,43
8.08,2937,43
8.12,2980,43
8.16,2977,43
8.2,2973,43
8.24,2932,43
8.28,2906,43
8.32,2869,42
8.36,2921,42
8.4,2936,42
8.44,2924,42
8.48,2896,42
8.52,2896,42
8.56,2912,43
8.6,2913,43
8.64,2946,42
8.68,2903,42
8.72,2916,42
8.76,2965,42
8.8,2998,42
8.84,3008,42
8.88,2963,42
8.92,2967,42
8.96,2986,42
9,2928,42
9.04,2953,42
9.08,2987,42
9.12,3012,42
9.16,3038,42
9.2,3049,42
9.24,3047,42
