Time,GPS Speed
0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0
2.35,0
2.4,0
2.45,0
2.5,0
2.55,0
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,0
2.95,0
3,0
3.05,0
3.1,0
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,0
3.45,0
3.5,0
3.55,0
3.6,0
3.65,0
3.7,0
3.75,0
3.8,0
3.85,0
3.9,0
3.95,0
4,0
4.05,0
4.1,0
4.15,0
4.2,0
4.25,0
4.3,0
4.35,0
4.4,0
4.45,0
4.5,0
4.55,0
4.6,0
4.65,0
4.7,0
4.75,0
4.8,0
4.85,0
4.9,0
4.95,0
5,0
5.05,0
5.1,0
5.15,0
5.2,0
5.25,0
5.3,0
5.35,0
5.4,0.3844
5.45,0.3844
5.5,0.3844
5.55,0.3844
5.6,0.3844
5.65,0.3844
5.7,0.3844
5.75,0.3844
5.8,0.3844
5.85,0.3844
5.9,0.3844
5.95,0.3844
6,0.3844
6.05,0.3844
6.1,0.3844
6.15,0.3844
6.2,0.3844
6.25,0.3844
6.3,0.3844
6.35,0.3844
6.4,0.3844
6.45,0.3844
6.5,0.3844
6.55,0.3844
6.6,0.3844
6.65,0.3844
6.7,0.3844
6.75,0.3844
6.8,0.3844
6.85,0.3844
6.9,0.3844
6.95,0.3844
7,0.3844
7.05,0.3844
7.1,0.3844
7.15,0.3844
7.2,0.3844
7.25,0.3844
7.3,0.3844
7.35,0.3844
7.4,0.3844
7.45,0.3844
7.5,0.3844
7.55,0.3844
7.6,0.3844
7.65,0.3844
7.7,0.3844
7.75,0.3844
7.8,0.3844
7.85,0.3844
7.9,0.3844
7.95,0.3844
8,0.3844
8.05,0.3844
8.1,0.3844
8.15,0.3624
8.2,0.3045
8.25,0.2465
8.3,0.1886
8.35,0.3099
8.4,0.7235
8.45,0.8806
8.5,0.619
8.55,0.4216
8.6,0.3291
8.65,0.5876
8.7,1.4187
8.75,2.1914
8.8,2.8688
8.85,3.5998
8.9,4.4183
8.95,5.1214
9,5.6364
9.05,5.8964
9.1,5.7405
9.15,5.8667
9.2,6.4532
9.25,6.9984
9.3,7.476
9.35,7.696
9.4,7.4955
9.45,7.6426
9.5,8.3567
9.55,8.8135
9.6,8.8505
9.65,9.098
9.7,9.6891
9.75,10.5682
9.8,11.9171
9.85,12.8384
9.9,13.0619
9.95,13.2019
10,13.2054
10.05,13.2065
10.1,13.2037
10.15,13.0799
10.2,12.7584
10.25,12.4757
10.3,12.2562
10.35,12.0596
10.4,11.9003
10.45,11.6761
10.5,11.3461
10.55,11.0171
10.6,10.6897
10.65,10.4211
10.7,10.2486
10.75,10.0032
10.8,9.6391
10.85,9.3078
10.9,9.0299
10.95,8.7961
11,8.6339
11.05,8.383
11.1,7.9872
11.15,7.5495
11.2,7.0437
11.25,6.5958
11.3,6.2425
11.35,5.8431
11.4,5.3687
11.45,4.9497
11.5,4.6209
11.55,4.3565
11.6,4.1973
11.65,4.0603
11.7,3.9595
11.75,3.8792
11.8,3.8323
11.85,3.7004
11.9,3.4299
11.95,3.2475
12,3.2091
12.05,3.1999
12.1,3.2382
12.15,3.228
12.2,3.1389
12.25,2.9725
12.3,2.6801
12.35,2.5577
12.4,2.7125
12.45,2.6874
12.5,2.3689
12.55,2.1919
12.6,2.2461
12.65,2.2109
12.7,2.03
12.75,1.898
12.8,1.8457
12.85,1.8204
12.9,1.8391
12.95,1.797
13,1.6556
13.05,1.5423
13.1,1.4747
13.15,1.3978
13.2,1.3057
13.25,1.2127
13.3,1.1181
13.35,1.0185
13.4,0.911
13.45,0.8161
13.5,0.7421
13.55,0.6609
13.6,0.568
13.65,0.4911
13.7,0.4403
13.75,0.3904
13.8,0.3419
13.85,0.2693
13.9,0.1575
13.95,0.0882
14,0.0882
14.05,0.0811
14.1,0.0625
14.15,0.0531
14.2,0.0588
14.25,0.0602
14.3,0.0545
14.35,0.0565
14.4,0.0713
14.45,0.0771
14.5,0.068
14.55,0.0602
14.6,0.0545
14.65,0.0761
14.7,0.1424
14.75,0.164
14.8,0.1124
14.85,0.072
14.9,0.0498
14.95,0.0497
15,0.0857
15.05,0.0875
15.1,0.0335
15.15,0.0068
15.2,0.0248
15.25,0.0388
15.3,0.0463
15.35,0.0412
15.4,0.0158
15.45,0
15.5,0
15.55,0
15.6,0
15.65,0
15.7,0
15.75,0.1457
15.8,0.5293
15.85,0.8417
15.9,1.0381
15.95,1.2186
16,1.3731
16.05,1.5263
16.1,1.6773
16.15,1.8761
16.2,2.1529
16.25,2.3588
16.3,2.4491
16.35,2.6078
16.4,2.8782
16.45,3.1282
16.5,3.3449
16.55,3.48
16.6,3.4818
16.65,3.6259
16.7,4.0021
16.75,4.3075
16.8,4.4975
16.85,4.6876
16.9,4.8779
16.95,5.098
17,5.3668
17.05,5.5762
17.1,5.6888
17.15,5.8061
17.2,5.9314
17.25,6.0629
17.3,6.2043
17.35,6.2779
17.4,6.2405
17.45,6.0144
17.5,5.4806
17.55,4.8692
17.6,4.1313
17.65,3.2358
17.7,2.0831
17.75,1.1405
17.8,0.5407
17.85,0.1998
17.9,0.2814
17.95,0.3376
18,0.3525
18.05,0.3136
18.1,0.1867
18.15,0.0993
18.2,0.0765
18.25,0.0673
18.3,0.0802
18.35,0.097
18.4,0.1203
18.45,0.121
18.5,0.0848
18.55,0.0699
18.6,0.0896
18.65,0.1052
18.7,0.114
18.75,0.0967
18.8,0.037
18.85,0.0153
18.9,0.0555
18.95,0.0771
19,0.068
19.05,0.0721
19.1,0.0979
19.15,0.1075
19.2,0.0908
19.25,0.1045
19.3,0.1676
19.35,0.201
19.4,0.1858
19.45,0.1634
19.5,0.1292
19.55,0.1091
19.6,0.112
19.65,0.1149
19.7,0.1177
19.75,0.1172
19.8,0.1115
19.85,0.0993
19.9,0.0765
19.95,0.0658
20,0.0749
20.05,0.1001
20.1,0.1516
20.15,0.1624
20.2,0.1066
20.25,0.072
20.3,0.072
20.35,0.0788
20.4,0.0968
20.45,0.1196
20.5,0.15
20.55,0.1723
20.6,0.1814
20.65,0.1994
20.7,0.2319
20.75,0.2446
20.8,0.2251
20.85,0.1822
20.9,0.1012
20.95,0.0481
21,0.0406
21.05,0.066
21.1,0.1449
21.15,0.1919
21.2,0.1868
21.25,0.1714
21.3,0.1393
21.35,0.1273
21.4,0.1481
21.45,0.1807
21.5,0.2324
21.55,0.231
21.6,0.1429
21.65,0.0867
21.7,0.0829
21.75,0.1007
21.8,0.154
21.85,0.1683
21.9,0.1188
21.95,0.0783
22,0.0522
22.05,0.0459
22.1,0.072
22.15,0.0882
22.2,0.0882
22.25,0.0961
22.3,0.1169
22.35,0.1278
22.4,0.1226
22.45,0.1064
22.5,0.0721
22.55,0.0668
22.6,0.1087
22.65,0.1159
22.7,0.0666
